Frame,RMSD_noFit_frame0
689,4.046142
690,3.7334228
691,3.9596784
692,4.3224735
693,3.9700565
694,4.009054
695,4.566098
696,4.293558
697,4.0463953
698,4.4051275
699,4.182602
700,3.8891456
701,4.0420613
702,2.9407327
703,3.560896
704,3.2265987
705,3.6048415
706,4.0113797
707,4.2098174
708,4.6093636
709,4.0765195
710,4.0676394
711,4.0173764
712,4.2590957
713,3.2872458
714,3.2660427
715,3.4928966
716,3.831788
717,3.432841
718,4.298218
719,3.7377887
720,3.4648347
721,2.7399437
722,4.532014
723,3.7386932
724,4.112038
725,3.7825842
726,3.0076427
727,4.0737805
728,3.988114
729,3.7874303
730,3.4570558
731,3.4127114
732,3.479633
733,3.42115
734,3.8276992
735,3.4068525
736,3.571899
737,3.80585
738,3.1393368
739,3.513235
740,2.886411
741,3.538238
742,3.6190393
743,3.8537345
744,3.4483538
745,3.539969
746,3.1764567
747,3.6632745
748,3.1817012
749,3.7747982
750,3.1261363
751,3.2692447
752,3.2945685
753,3.1612723
754,4.155233
755,3.6399193
756,3.177446
757,3.3615553
758,3.284868
759,3.397081
760,3.0416858
761,3.259169
762,3.0415046
763,3.200291
764,2.711915
765,3.5365925
766,3.6163876
767,3.816085
768,3.4034245
769,3.0512152
770,3.5296085
771,3.2634735
772,3.4181013
773,3.2864838
774,3.8857234
775,3.1966655
776,3.5319734
777,3.4501731
778,3.5837216
779,3.5307658
780,3.742639
781,3.3361018
782,4.103665
783,3.5773294
784,3.9722369
785,3.7055693
786,3.705862
787,4.245618
788,3.080872
789,3.8408172
790,3.3715014
791,3.9778101
792,3.5997415
793,3.975371
794,4.144706
795,3.8288145
796,3.7218122
797,3.9220643
798,3.8243003
799,4.1079283
800,3.9812267
801,3.8307755
802,3.8117406
803,3.3699293
804,3.853154
805,3.8914137
806,4.170689
807,3.660365
808,3.5576692
809,3.8775144
810,4.2706733
811,3.810772
812,3.4873378
813,3.6841106
814,4.169109
815,3.6218421
816,3.0264828
817,3.6355264
818,3.740515
819,3.5140154
820,3.4446166
821,3.2300475
822,4.108152
823,4.241839
824,3.655275
825,3.5380867
826,3.7071462
827,3.5450208
828,3.745771
829,3.3359256
830,3.7428958
831,3.6735466
832,3.5960145
833,3.7847922
834,3.5989377
835,3.8768668
836,3.2492077
837,3.8206596
838,3.387987
839,3.1429017
840,3.7757273
841,3.7854054
842,2.839445
843,3.1056273
844,3.3717887
845,2.8166103
846,3.748718
847,3.374884
848,2.9247787
849,3.1122813
850,3.5529695
851,3.6303039
852,4.042868
853,3.5375733
854,3.7054086
855,3.8700907
856,3.1642795
857,3.6869972
858,3.211116
859,3.1325688
860,3.7758038
861,3.2608888
862,2.8214753
863,2.5490246
864,3.0410602
865,3.0272787
866,3.2621162
867,3.5979488
868,2.7917902
869,3.2748773
870,3.3248398
871,3.0006876
872,3.8513799
873,3.1692681
874,3.2923806
875,3.2019727
876,3.8035612
877,3.7167315
878,2.595903
879,3.4899776
880,3.0556498
881,3.5032392
882,2.8511326
883,2.7504475
884,3.281774
885,3.6200244
886,3.697875
887,4.1888
888,3.5297365
889,4.100124
890,3.5258534
891,3.729378
892,3.691009
893,4.2240086
894,3.341442
895,3.872791
896,4.121341
897,3.3355742
898,4.1378093
899,3.7880452
900,4.0934744
901,3.8681076
902,3.8342457
903,3.813174
904,3.8671575
905,4.172075
906,3.6299906
907,3.5375776
908,3.7816381
909,3.7018223
910,3.5150123
911,3.6781142
912,3.854609
913,3.9121296
914,4.1391816
915,4.402107
916,4.9616275
917,3.9275978
918,4.4253197
919,3.913684
920,4.1214843
921,4.0467086
922,4.1685057
923,4.8539677
924,4.0700607
925,4.359641
926,4.713842
927,3.8532023
928,3.621578
929,3.3648894
930,2.8028998
931,3.3456793
932,3.3362813
933,2.9721735
934,2.9094536
935,3.1382108
936,3.0556693
937,3.8660793
938,3.5157764
939,3.5888195
940,3.3568869
941,3.068139
942,3.8056428
943,3.3423278
944,3.150977
945,3.7868977
946,3.262916
947,3.333711
948,3.7179587
949,3.5995312
950,3.5320761
951,4.0085945
952,3.385486
953,3.6926608
954,3.5027115
955,3.5042367
956,3.3957062
957,3.7356129
958,3.3590062
959,3.5938158
960,3.755633
961,3.7878373
962,3.5656078
963,3.8409371
964,3.8551657
965,3.3887305
966,3.3981335
967,4.272671
968,3.2844622
969,3.4204624
970,3.9136417
971,3.5928915
972,3.5301955
973,3.5553048
974,4.0868115
975,3.848776
976,4.185135
977,3.7931826
978,4.001971
979,3.8039691
980,4.244659
981,3.887288
982,4.0162625
983,3.8094614
984,3.6613817
985,3.743236
986,4.3907046
987,3.732392
988,3.7167776
989,3.7347844
990,3.8268256
991,3.9518402
992,3.7160597
993,3.8293793
994,3.9413576
995,3.5331688
996,3.811422
997,3.4962325
998,3.3802571
999,3.6145148
1000,3.5895805
1001,3.978369
1002,3.3136983
1003,3.39286
1004,3.3299563
1005,3.3020191
1006,2.8068094
1007,2.8574877
1008,3.7611504
1009,3.4244
1010,3.3015172
1011,3.458738
1012,4.0147376
1013,3.5874724
1014,3.377845
1015,3.611189
1016,3.2383175
1017,3.114124
1018,3.4495747
1019,3.562858
1020,3.173136
1021,3.3721735
1022,3.6890357
1023,2.9041393
1024,3.2619405
1025,3.3648555
1026,3.9702435
1027,3.522577
1028,3.7642884
1029,3.3404143
1030,3.3114855
1031,3.879128
1032,3.6386611
1033,3.415709
1034,4.121159
1035,3.6017041
1036,3.5539703
1037,3.7690773
1038,3.7620456
1039,3.7116697
1040,3.4559875
1041,3.0129116
1042,3.4263878
1043,3.5854528
1044,3.2922301
1045,3.557824
1046,3.5543883
1047,3.4873033
1048,3.0656352
1049,3.4927118
1050,3.0669358
1051,2.9693873
1052,3.630529
1053,2.944239
1054,3.5417836
1055,3.3682237
1056,3.8881438
1057,3.5708086
1058,3.9559696
1059,3.5571017
1060,3.7511995
1061,2.9906957
1062,3.189859
1063,2.8756294
1064,3.8219824
1065,3.2376382
1066,3.8209658
1067,3.9163673
1068,3.5355077
1069,2.959874
1070,3.9834194
1071,4.185435
1072,3.852078
1073,3.6256938
1074,3.9212344
1075,3.52634
1076,3.3657148
1077,3.673598
1078,3.339776
1079,3.6202176
1080,3.666611
1081,3.849531
1082,2.9595225
1083,3.623299
1084,3.0301728
1085,3.123857
1086,3.3084662
1087,3.6331482
1088,3.673545
1089,3.2579784
1090,3.0145981
1091,3.1971848
1092,3.5656981
1093,3.2826905
1094,4.19265
1095,3.411318
1096,3.096463
1097,3.7364411
1098,3.6070242
1099,4.064381
1100,4.3480153
1101,3.8715029
1102,3.4653025
1103,3.925093
1104,4.3122754
1105,4.1282682
1106,3.8218575
1107,4.270886
1108,3.6829736
1109,3.8419838
1110,3.5769258
1111,3.5476303
1112,3.631616
1113,3.4632585
1114,3.11945
1115,3.6047115
1116,3.5445547
1117,3.6326702
1118,3.8724613
1119,3.1800346
1120,3.2820084
1121,3.3444967
1122,3.7911332
1123,3.8903456
1124,3.474079
1125,3.4912238
1126,3.8391905
1127,3.822197
1128,3.9235842
1129,3.8241909
1130,4.000907
1131,3.6786788
1132,4.003276
1133,3.6485415
1134,3.7200985
1135,3.9781575
1136,4.6577253
1137,5.205221
1138,3.8245738
1139,4.2405844
1140,3.6873264
1141,4.145331
1142,3.971749
1143,3.9394786
1144,3.7233493
1145,3.833403
1146,4.050366
1147,3.919462
1148,3.764006
1149,3.2368252
1150,3.1045287
1151,3.3243687
1152,3.7968845
1153,2.9710767
1154,3.9242437
1155,3.2492008
1156,3.5381806
1157,3.511064
1158,2.9205465
1159,3.0447955
1160,3.4295654
1161,3.9211497
1162,3.4990063
1163,3.8559616
1164,3.3407106
1165,3.07707
1166,3.345232
1167,3.404071
1168,3.292621
1169,3.1376047
1170,3.528758
1171,3.0980623
1172,3.3276591
1173,3.1567724
1174,3.2509654
1175,3.142454
1176,3.3742294
1177,3.2578063
1178,2.8165135
1179,3.009351
1180,2.7827156
1181,3.4515293
1182,3.0401978
1183,2.908125
1184,3.1148353
1185,3.3760169
1186,3.1918557
1187,3.3206549
1188,4.1352954
1189,3.8216746
1190,4.061575
1191,3.9137821
1192,3.6730838
1193,3.167738
1194,3.8463526
1195,3.834133
1196,3.4217763
1197,3.571245
1198,4.027508
1199,3.9701552
1200,4.208907
1201,3.947487
1202,4.1360273
1203,3.823275
1204,3.7383466
1205,3.6992843
1206,3.9167564
1207,3.4675052
1208,3.1916647
1209,2.8599887
1210,3.5359266
1211,3.1376758
1212,3.3017435
1213,3.1398265
1214,3.517001
1215,3.8937395
1216,3.9290247
1217,3.8988447
1218,3.7833364
1219,3.9369614
1220,3.7051926
1221,3.5472946
1222,3.68751
1223,3.970506
1224,3.2612302
1225,3.7721615
1226,4.290706
1227,4.662069
1228,3.539032
1229,3.7898164
1230,3.98399
1231,3.7707283
1232,4.0674505
1233,4.123803
1234,3.9363601
1235,4.2182927
1236,3.9196525
1237,3.6547015
1238,3.4496064
1239,3.4423454
1240,3.4297626
1241,3.444659
1242,3.596676
1243,3.5510557
1244,3.440926
1245,3.6622283
1246,3.7210908
1247,3.5379503
1248,3.78014
1249,3.6071374
1250,3.728527
1251,3.2118328
1252,4.431729
1253,3.5364683
1254,3.9097261
1255,3.6930048
1256,3.7325158
1257,3.1768641
1258,4.5012364
1259,4.2504296
1260,4.2910423
1261,4.8427987
1262,4.6594906
1263,4.354196
1264,4.7208796
1265,4.476504
1266,4.7439456
1267,5.0281157
1268,4.4396443
1269,4.285538
1270,4.5603275
1271,4.1552224
1272,4.518486
